AQUA 3-7-2018 2-5 01,AQUA 3-7-2018 2-5 01,AQUA 3-7-2018 2-5 01,AQUA 3-7-2018 2-5 02,AQUA 3-7-2018 2-5 02,AQUA 3-7-2018 2-5 02,ORANGE 3-7-2018 2-5 01,ORANGE 3-7-2018 2-5 01,ORANGE 3-7-2018 2-5 01,ORANGE 3-7-2018 2-5 02,ORANGE 3-7-2018 2-5 02,ORANGE 3-7-2018 2-5 02,PINK 3-7-2018 2-5 01,PINK 3-7-2018 2-5 01,PINK 3-7-2018 2-5 01,PINK 3-7-2018 2-5 02,PINK 3-7-2018 2-5 02,PINK 3-7-2018 2-5 02,PINK 3-9-2018 2-5 01,PINK 3-9-2018 2-5 01,PINK 3-9-2018 2-5 01,PINK 3-9-2018 2-5 02,PINK 3-9-2018 2-5 02,PINK 3-9-2018 2-5 02,PINK 3-9-2018 2-5 03,PINK 3-9-2018 2-5 03,PINK 3-9-2018 2-5 03,WHITE 3-7-2018 2-5 01,WHITE 3-7-2018 2-5 01,WHITE 3-7-2018 2-5 01,WHITE 3-7-2018 2-5 02,WHITE 3-7-2018 2-5 02,WHITE 3-7-2018 2-5 02
Force,Distance,Time,Force,Distance,Time,Force,Distance,Time,Force,Distance,Time,Force,Distance,Time,Force,Distance,Time,Force,Distance,Time,Force,Distance,Time,Force,Distance,Time,Force,Distance,Time,Force,Distance,Time
g,mm,sec,g,mm,sec,g,mm,sec,g,mm,sec,g,mm,sec,g,mm,sec,g,mm,sec,g,mm,sec,g,mm,sec,g,mm,sec,g,mm,sec
-63.17850514,-164.358,245.75,-34.79753603,-164.358,245.75,-118.3363016,-164.358,245.75,-106.6137274,-164.358,245.75,-33.06999878,-164.358,245.75,-28.38096911,-164.358,245.75,-34.53978275,-164.358,245.75,-34.78474575,-164.358,245.75,-36.13204224,-164.358,245.75,-20.97723803,-164.358,245.75,-20.23686493,-164.358,245.75
-63.91887825,-164.37,245.755,-34.30395396,-164.37,245.755,-118.3363016,-164.37,245.755,-106.7371229,-164.37,245.755,-33.06999878,-164.37,245.755,-28.50436462,-164.37,245.755,-34.66226425,-164.37,245.755,-34.53978275,-164.37,245.755,-35.39715325,-164.37,245.755,-21.34742459,-164.37,245.755,-19.86667837,-164.37,245.755
-63.17850514,-164.383,245.76,-33.31678982,-164.383,245.76,-117.719324,-164.383,245.76,-106.2435409,-164.383,245.76,-32.45302119,-164.383,245.76,-28.13417807,-164.383,245.76,-34.90722725,-164.383,245.76,-34.29481976,-164.383,245.76,-35.64211625,-164.383,245.76,-20.36026045,-164.383,245.76,-19.49649182,-164.383,245.76
-63.30190066,-164.395,245.765,-33.93376741,-164.395,245.765,-118.4596971,-164.395,245.765,-107.1073095,-164.395,245.765,-33.06999878,-164.395,245.765,-28.99794669,-164.395,245.765,-35.27467175,-164.395,245.765,-34.66226425,-164.395,245.765,-36.00956074,-164.395,245.765,-20.60705148,-164.395,245.765,-20.730447,-164.395,245.765
-63.05510962,-164.408,245.77,-34.18055844,-164.408,245.77,-118.3363016,-164.408,245.77,-107.1073095,-164.408,245.77,-33.06999878,-164.408,245.77,-28.99794669,-164.408,245.77,-34.04985676,-164.408,245.77,-33.55993076,-164.408,245.77,-35.15219025,-164.408,245.77,-20.60705148,-164.408,245.77,-20.60705148,-164.408,245.77
-62.43813203,-164.42,245.775,-33.68697637,-164.42,245.775,-117.8427195,-164.42,245.775,-105.9967498,-164.42,245.775,-32.57641671,-164.42,245.775,-28.50436462,-164.42,245.775,-34.78474575,-164.42,245.775,-34.17233826,-164.42,245.775,-36.00956074,-164.42,245.775,-20.11346941,-164.42,245.775,-20.11346941,-164.42,245.775
-63.42529618,-164.433,245.78,-34.30395396,-164.433,245.78,-118.4596971,-164.433,245.78,-106.4903319,-164.433,245.78,-33.1933943,-164.433,245.78,-28.87455118,-164.433,245.78,-34.78474575,-164.433,245.78,-35.02970875,-164.433,245.78,-36.13204224,-164.433,245.78,-21.22402907,-164.433,245.78,-20.60705148,-164.433,245.78
-63.67208721,-164.445,245.785,-34.30395396,-164.445,245.785,-118.2129061,-164.445,245.785,-106.8605185,-164.445,245.785,-33.31678982,-164.445,245.785,-28.62776014,-164.445,245.785,-34.17233826,-164.445,245.785,-34.04985676,-164.445,245.785,-35.27467175,-164.445,245.785,-21.34742459,-164.445,245.785,-20.23686493,-164.445,245.785
-63.67208721,-164.458,245.79,-33.81037189,-164.458,245.79,-117.8427195,-164.458,245.79,-106.2435409,-164.458,245.79,-33.1933943,-164.458,245.79,-28.38096911,-164.458,245.79,-35.02970875,-164.458,245.79,-35.02970875,-164.458,245.79,-36.25452374,-164.458,245.79,-21.10063355,-164.458,245.79,-19.99007389,-164.458,245.79
-63.79548273,-164.47,245.795,-34.05716293,-164.47,245.795,-118.2129061,-164.47,245.795,-106.6137274,-164.47,245.795,-33.31678982,-164.47,245.795,-28.62776014,-164.47,245.795,-34.78474575,-164.47,245.795,-35.27467175,-164.47,245.795,-36.62196824,-164.47,245.795,-20.97723803,-164.47,245.795,-19.99007389,-164.47,245.795
-63.54869169,-164.483,245.8,-34.42734948,-164.483,245.8,-118.3363016,-164.483,245.8,-106.6137274,-164.483,245.8,-33.56358086,-164.483,245.8,-28.75115566,-164.483,245.8,-34.04985676,-164.483,245.8,-34.66226425,-164.483,245.8,-35.51963475,-164.483,245.8,-20.48365596,-164.483,245.8,-20.48365596,-164.483,245.8
-63.79548273,-164.495,245.805,-34.18055844,-164.495,245.805,-118.8298837,-164.495,245.805,-106.2435409,-164.495,245.805,-33.56358086,-164.495,245.805,-28.87455118,-164.495,245.805,-34.66226425,-164.495,245.805,-34.78474575,-164.495,245.805,-35.64211625,-164.495,245.805,-20.85384252,-164.495,245.805,-20.85384252,-164.495,245.805
-63.42529618,-164.508,245.81,-34.05716293,-164.508,245.81,-118.0895106,-164.508,245.81,-105.9967498,-164.508,245.81,-33.44018534,-164.508,245.81,-28.38096911,-164.508,245.81,-34.04985676,-164.508,245.81,-34.41730126,-164.508,245.81,-35.76459775,-164.508,245.81,-20.730447,-164.508,245.81,-20.11346941,-164.508,245.81
-63.67208721,-164.52,245.815,-34.42734948,-164.52,245.815,-118.3363016,-164.52,245.815,-106.1201454,-164.52,245.815,-33.56358086,-164.52,245.815,-28.38096911,-164.52,245.815,-34.41730126,-164.52,245.815,-34.41730126,-164.52,245.815,-35.64211625,-164.52,245.815,-21.10063355,-164.52,245.815,-20.23686493,-164.52,245.815
-63.91887825,-164.533,245.82,-34.92093155,-164.533,245.82,-118.8298837,-164.533,245.82,-106.983914,-164.533,245.82,-33.81037189,-164.533,245.82,-29.12134221,-164.533,245.82,-34.66226425,-164.533,245.82,-34.78474575,-164.533,245.82,-36.00956074,-164.533,245.82,-21.47082011,-164.533,245.82,-20.97723803,-164.533,245.82
-63.17850514,-164.545,245.825,-34.30395396,-164.545,245.825,-118.3363016,-164.545,245.825,-106.4903319,-164.545,245.825,-33.31678982,-164.545,245.825,-28.38096911,-164.545,245.825,-34.04985676,-164.545,245.825,-34.78474575,-164.545,245.825,-35.64211625,-164.545,245.825,-20.36026045,-164.545,245.825,-20.36026045,-164.545,245.825
-63.67208721,-164.558,245.83,-34.18055844,-164.558,245.83,-118.8298837,-164.558,245.83,-106.7371229,-164.558,245.83,-33.44018534,-164.558,245.83,-28.99794669,-164.558,245.83,-34.41730126,-164.558,245.83,-34.90722725,-164.558,245.83,-35.88707925,-164.558,245.83,-20.97723803,-164.558,245.83,-20.85384252,-164.558,245.83
-63.91887825,-164.57,245.835,-34.550745,-164.57,245.835,-118.3363016,-164.57,245.835,-106.7371229,-164.57,245.835,-33.44018534,-164.57,245.835,-29.49152877,-164.57,245.835,-34.04985676,-164.57,245.835,-33.92737526,-164.57,245.835,-35.39715325,-164.57,245.835,-21.59421562,-164.57,245.835,-20.85384252,-164.57,245.835
-63.05510962,-164.583,245.84,-33.44018534,-164.583,245.84,-117.3491375,-164.583,245.84,-105.7499588,-164.583,245.84,-32.08283464,-164.583,245.84,-28.50436462,-164.583,245.84,-34.41730126,-164.583,245.84,-34.53978275,-164.583,245.84,-35.27467175,-164.583,245.84,-20.48365596,-164.583,245.84,-19.49649182,-164.583,245.84
-63.79548273,-164.595,245.845,-34.42734948,-164.595,245.845,-118.0895106,-164.595,245.845,-106.2435409,-164.595,245.845,-33.06999878,-164.595,245.845,-29.12134221,-164.595,245.845,-34.78474575,-164.595,245.845,-35.51963475,-164.595,245.845,-36.13204224,-164.595,245.845,-21.34742459,-164.595,245.845,-20.730447,-164.595,245.845
-63.91887825,-164.608,245.85,-35.04432707,-164.608,245.85,-118.7064882,-164.608,245.85,-106.4903319,-164.608,245.85,-33.31678982,-164.608,245.85,-29.12134221,-164.608,245.85,-33.31496776,-164.608,245.85,-33.92737526,-164.608,245.85,-34.53978275,-164.608,245.85,-20.85384252,-164.608,245.85,-21.34742459,-164.608,245.85
